Site	Type	Left	Right	Strand	Transcription-Units
ArcA-Pasp54 DNA-binding-site (BS0-9518)	DNA-Binding-Sites	1832017	1832032	NA	NA
ArcA-Pasp54 DNA-binding-site (BS0-9519)	DNA-Binding-Sites	1832006	1832021	NA	NA
ArcA-Pasp54 DNA-binding-site (BS0-9520)	DNA-Binding-Sites	1831995	1832010	NA	NA
ArcA-Pasp54 DNA-binding-site (BS0-9521)	DNA-Binding-Sites	859118	859133	NA	NA
ArcA-Pasp54 DNA-binding-site (BS0-9522)	DNA-Binding-Sites	2266224	2266239	NA	NA
ArcA-Pasp54 DNA-binding-site (BS0-9523)	DNA-Binding-Sites	2266213	2266228	NA	NA
ArcA-Pasp54 DNA-binding-site (BS0-9524)	DNA-Binding-Sites	2278475	2278490	NA	NA
ArcA-Pasp54 DNA-binding-site (BS0-9525)	DNA-Binding-Sites	2278263	2278278	NA	NA
ArcA-Pasp54 DNA-binding-site (BS0-9526)	DNA-Binding-Sites	2278286	2278301	NA	NA
ArcA-Pasp54 DNA-binding-site (BS0-9527)	DNA-Binding-Sites	3893763	3893778	NA	NA
ArcA-Pasp54 DNA-binding-site (BS0-9528)	DNA-Binding-Sites	4571666	4571681	NA	NA
ArcA-Pasp54 DNA-binding-site (BS0-9529)	DNA-Binding-Sites	1523103	1523118	NA	NA
ArcA-Pasp54 DNA-binding-site (BS0-9530)	DNA-Binding-Sites	1523146	1523161	NA	NA
ArcA-Pasp54 DNA-binding-site (BS0-9531)	DNA-Binding-Sites	2498501	2498516	NA	NA
ArcA-Pasp54 DNA-binding-site (BS0-9532)	DNA-Binding-Sites	2498479	2498494	NA	NA
ArcA-Pasp54 DNA-binding-site (BS0-9533)	DNA-Binding-Sites	2498463	2498478	NA	NA
ArcA-Pasp54 DNA-binding-site 1.5 bases downstream of ompWp	DNA-Binding-Sites	1313983	1314001	+	ompW
ArcA-Pasp54 DNA-binding-site 10 bases downstream of lldPp	DNA-Binding-Sites	3777291	3777306	+	lldPRD
ArcA-Pasp54 DNA-binding-site 10 bases upstream of sodAp	DNA-Binding-Sites	4100742	4100757	+	sodA
ArcA-Pasp54 DNA-binding-site 101 bases upstream of caiTp	DNA-Binding-Sites	42131	42146	-	caiTABCDE
ArcA-Pasp54 DNA-binding-site 104 bases upstream of glcDp	DNA-Binding-Sites	3128173	3128188	-	glcDEFGBA
ArcA-Pasp54 DNA-binding-site 108 bases upstream of nuoAp2	DNA-Binding-Sites	2405263	2405278	-	nuoABCEFGHIJKLMN
ArcA-Pasp54 DNA-binding-site 111.0 bases upstream of glcDp	DNA-Binding-Sites	3128180	3128195	-	glcDEFGBA
ArcA-Pasp54 DNA-binding-site 113 bases upstream of acnBp1	DNA-Binding-Sites	131399	131414	+	acnB
ArcA-Pasp54 DNA-binding-site 114 bases upstream of focAp1	DNA-Binding-Sites	954600	954615	-	focA-pflB
ArcA-Pasp54 DNA-binding-site 119 bases upstream of acnBp1	DNA-Binding-Sites	131393	131408	+	acnB
ArcA-Pasp54 DNA-binding-site 13 bases downstream of aldAp	DNA-Binding-Sites	1488195	1488210	+	aldA
ArcA-Pasp54 DNA-binding-site 135 bases downstream of cydAp1	DNA-Binding-Sites	771297	771312	+	cydAB
ArcA-Pasp54 DNA-binding-site 137 bases upstream of aldAp	DNA-Binding-Sites	1488046	1488061	+	aldA
ArcA-Pasp54 DNA-binding-site 137 bases upstream of moeAp	DNA-Binding-Sites	866524	866539	-	moeAB
ArcA-Pasp54 DNA-binding-site 137 bases upstream of sdhCp	DNA-Binding-Sites	754814	754829	+	sdhCDAB-sucABCD-sdhX
ArcA-Pasp54 DNA-binding-site 139 bases upstream of acnBp1	DNA-Binding-Sites	131373	131388	+	acnB
ArcA-Pasp54 DNA-binding-site 143 bases upstream of acnBp1	DNA-Binding-Sites	131369	131384	+	acnB
ArcA-Pasp54 DNA-binding-site 15 bases downstream of betTp	DNA-Binding-Sites	329428	329443	+	betT // betIBA
ArcA-Pasp54 DNA-binding-site 15 bases downstream of fadEp	DNA-Binding-Sites	243385	243400	-	fadE
ArcA-Pasp54 DNA-binding-site 153.5 bases upstream of ssbp1	DNA-Binding-Sites	4273931	4273946	+	ssb // ssb // uvrA // ssb
ArcA-Pasp54 DNA-binding-site 156 bases upstream of rhaTp	DNA-Binding-Sites	4100715	4100730	-	rhaT
ArcA-Pasp54 DNA-binding-site 157 bases upstream of aldAp	DNA-Binding-Sites	1488026	1488041	+	aldA
ArcA-Pasp54 DNA-binding-site 16 bases downstream of icdAp1	DNA-Binding-Sites	1195016	1195031	+	icd
ArcA-Pasp54 DNA-binding-site 16 bases downstream of ydeAp	DNA-Binding-Sites	1616963	1616978	+	ydeA
ArcA-Pasp54 DNA-binding-site 16.5 bases upstream of iraMp1	DNA-Binding-Sites	1212099	1212114	-	iraM
ArcA-Pasp54 DNA-binding-site 17 bases upstream of fadIp	DNA-Binding-Sites	2460521	2460536	-	fadIJ
ArcA-Pasp54 DNA-binding-site 170 bases upstream of acnBp1	DNA-Binding-Sites	131342	131357	+	acnB
ArcA-Pasp54 DNA-binding-site 170.5 bases upstream of iraMp1	DNA-Binding-Sites	1212253	1212268	-	iraM
ArcA-Pasp54 DNA-binding-site 173 bases upstream of rhaTp	DNA-Binding-Sites	4100732	4100747	-	rhaT
ArcA-Pasp54 DNA-binding-site 179 bases upstream of cadBp	DNA-Binding-Sites	4360278	4360293	-	cadBA
ArcA-Pasp54 DNA-binding-site 18 bases upstream of lldPp	DNA-Binding-Sites	3777264	3777279	+	lldPRD
ArcA-Pasp54 DNA-binding-site 18 bases upstream of lpdAp	DNA-Binding-Sites	127692	127707	+	lpdA
ArcA-Pasp54 DNA-binding-site 184 bases upstream of rhaTp	DNA-Binding-Sites	4100743	4100758	-	rhaT
ArcA-Pasp54 DNA-binding-site 19 bases downstream of fadHp	DNA-Binding-Sites	3231635	3231650	+	fadH
ArcA-Pasp54 DNA-binding-site 197 bases upstream of appYp2	DNA-Binding-Sites	583454	583464	+	appY
ArcA-Pasp54 DNA-binding-site 2 bases downstream of aldAp	DNA-Binding-Sites	1488184	1488199	+	aldA
ArcA-Pasp54 DNA-binding-site 2 bases downstream of ptsGp1	DNA-Binding-Sites	1157760	1157775	+	ptsG
ArcA-Pasp54 DNA-binding-site 200 bases upstream of cyoAp	DNA-Binding-Sites	451846	451861	-	cyoABCDE
ArcA-Pasp54 DNA-binding-site 21 bases upstream of sodAp	DNA-Binding-Sites	4100731	4100746	+	sodA
ArcA-Pasp54 DNA-binding-site 211 bases upstream of sdhCp	DNA-Binding-Sites	754740	754755	+	sdhCDAB-sucABCD-sdhX
ArcA-Pasp54 DNA-binding-site 22 bases upstream of tpxp	DNA-Binding-Sites	1388859	1388874	-	tpx
ArcA-Pasp54 DNA-binding-site 237 bases upstream of treBp	DNA-Binding-Sites	4466440	4466455	-	treBC
ArcA-Pasp54 DNA-binding-site 24 bases downstream of rpoSp	DNA-Binding-Sites	2868088	2868103	-	rpoS
ArcA-Pasp54 DNA-binding-site 251 bases upstream of focAp1	DNA-Binding-Sites	954737	954752	-	focA-pflB
ArcA-Pasp54 DNA-binding-site 257 bases downstream of sdhCp	DNA-Binding-Sites	755207	755222	+	sdhCDAB-sucABCD-sdhX
ArcA-Pasp54 DNA-binding-site 27 bases downstream of mdhp1	DNA-Binding-Sites	3384280	3384295	-	mdh
ArcA-Pasp54 DNA-binding-site 27 bases upstream of lpdAp	DNA-Binding-Sites	127683	127698	+	lpdA
ArcA-Pasp54 DNA-binding-site 27 bases upstream of sdhCp	DNA-Binding-Sites	754924	754939	+	sdhCDAB-sucABCD-sdhX
ArcA-Pasp54 DNA-binding-site 28 bases downstream of caiTp	DNA-Binding-Sites	42003	42018	-	caiTABCDE
ArcA-Pasp54 DNA-binding-site 29 bases upstream of arcZp	DNA-Binding-Sites	3350541	3350556	+	arcZ
ArcA-Pasp54 DNA-binding-site 29 bases upstream of fadBp	DNA-Binding-Sites	4031035	4031050	-	fadBA
ArcA-Pasp54 DNA-binding-site 293 bases upstream of cydAp1	DNA-Binding-Sites	770870	770885	+	cydAB
ArcA-Pasp54 DNA-binding-site 3 bases downstream of betTp	DNA-Binding-Sites	329416	329431	+	betT
ArcA-Pasp54 DNA-binding-site 3 bases upstream of icdAp1	DNA-Binding-Sites	1194998	1195013	+	icd
ArcA-Pasp54 DNA-binding-site 304 bases upstream of cydAp1	DNA-Binding-Sites	770859	770874	+	cydAB
ArcA-Pasp54 DNA-binding-site 315 bases upstream of cydAp1	DNA-Binding-Sites	770848	770863	+	cydAB
ArcA-Pasp54 DNA-binding-site 32 bases upstream of sdhCp	DNA-Binding-Sites	754919	754934	+	sdhCDAB-sucABCD-sdhX
ArcA-Pasp54 DNA-binding-site 34 bases upstream of acnAp2	DNA-Binding-Sites	1335740	1335755	+	acnA
ArcA-Pasp54 DNA-binding-site 340 bases upstream of dcuCp	DNA-Binding-Sites	656416	656431	-	dcuC
ArcA-Pasp54 DNA-binding-site 36 bases downstream of ndhp	DNA-Binding-Sites	1166020	1166035	+	ndh
ArcA-Pasp54 DNA-binding-site 38 bases upstream of fadLp	DNA-Binding-Sites	2461160	2461175	+	fadL
ArcA-Pasp54 DNA-binding-site 38 bases upstream of sodAp	DNA-Binding-Sites	4100714	4100729	+	sodA
ArcA-Pasp54 DNA-binding-site 44 bases upstream of cydDp	DNA-Binding-Sites	931068	931083	-	cydDC
ArcA-Pasp54 DNA-binding-site 47 bases upstream of gltAp1	DNA-Binding-Sites	754807	754822	-	gltA
ArcA-Pasp54 DNA-binding-site 48 bases upstream of acnBp1	DNA-Binding-Sites	131464	131479	+	acnB
ArcA-Pasp54 DNA-binding-site 48 bases upstream of ptsGp1	DNA-Binding-Sites	1157711	1157726	+	ptsG
ArcA-Pasp54 DNA-binding-site 5 bases downstream of focAp2	DNA-Binding-Sites	954492	954507	-	focA-pflB // focA-pflB
ArcA-Pasp54 DNA-binding-site 5 bases upstream of aldAp	DNA-Binding-Sites	1488178	1488193	+	aldA
ArcA-Pasp54 DNA-binding-site 50 bases downstream of caiTp	DNA-Binding-Sites	41981	41996	-	caiTABCDE
ArcA-Pasp54 DNA-binding-site 50.5 bases upstream of ssbp1	DNA-Binding-Sites	4274034	4274049	+	ssb // ssb // uvrA // ssb
ArcA-Pasp54 DNA-binding-site 52 bases downstream of ndhp	DNA-Binding-Sites	1166036	1166051	+	ndh
ArcA-Pasp54 DNA-binding-site 57 bases downstream of ndhp	DNA-Binding-Sites	1166041	1166056	+	ndh
ArcA-Pasp54 DNA-binding-site 57 bases upstream of acnBp1	DNA-Binding-Sites	131455	131470	+	acnB
ArcA-Pasp54 DNA-binding-site 57 bases upstream of hybOp1	DNA-Binding-Sites	3146413	3146428	-	hybOABCDEFG
ArcA-Pasp54 DNA-binding-site 57 bases upstream of ndhp	DNA-Binding-Sites	1165928	1165943	+	ndh
ArcA-Pasp54 DNA-binding-site 6 bases upstream of betIp	DNA-Binding-Sites	329360	329375	-	betIBA
ArcA-Pasp54 DNA-binding-site 64 bases upstream of rpoSp	DNA-Binding-Sites	2868175	2868190	-	rpoS
ArcA-Pasp54 DNA-binding-site 64.5 bases downstream of ybdNp	DNA-Binding-Sites	636615	636630	-	ybdN
ArcA-Pasp54 DNA-binding-site 66 bases downstream of ndhp	DNA-Binding-Sites	1166050	1166065	+	ndh
ArcA-Pasp54 DNA-binding-site 67 bases upstream of hyaAp2	DNA-Binding-Sites	1031910	1031925	+	hyaABCDEF // hyaABCDEF
ArcA-Pasp54 DNA-binding-site 68 bases downstream of ndhp	DNA-Binding-Sites	1166052	1166067	+	ndh
ArcA-Pasp54 DNA-binding-site 7 bases upstream of fadDp	DNA-Binding-Sites	1889807	1889822	-	fadD-sroD
ArcA-Pasp54 DNA-binding-site 7.5 bases upstream of hyaAp2	DNA-Binding-Sites	1031966	1031988	+	hyaABCDEF // hyaABCDEF
ArcA-Pasp54 DNA-binding-site 7.5 bases upstream of ssbp1	DNA-Binding-Sites	4274077	4274092	+	ssb // ssb // uvrA // ssb
ArcA-Pasp54 DNA-binding-site 77.5 bases upstream of cydAp2	DNA-Binding-Sites	771199	771214	+	cydAB
ArcA-Pasp54 DNA-binding-site 82 bases downstream of puuDp	DNA-Binding-Sites	1361126	1361141	+	puuDRCBE // puuAP
ArcA-Pasp54 DNA-binding-site 82 bases upstream of grcAp1	DNA-Binding-Sites	2716598	2716613	-	grcA
ArcA-Pasp54 DNA-binding-site 84 bases upstream of cydAp1	DNA-Binding-Sites	771079	771094	+	cydAB
ArcA-Pasp54 DNA-binding-site 85 bases upstream of ptsGp1	DNA-Binding-Sites	1157674	1157689	+	ptsG
ArcA-Pasp54 DNA-binding-site 90.5 bases upstream of ssbp1	DNA-Binding-Sites	4273994	4274009	+	ssb // ssb // uvrA // ssb
ArcA-Pasp54 DNA-binding-site 91 bases upstream of caiTp	DNA-Binding-Sites	42121	42136	-	caiTABCDE
ArcA-Pasp54 DNA-binding-site 95.5 bases upstream of dpiBp1	DNA-Binding-Sites	651884	651894	+	dpiBA // citCDEFXG
ArcA-Pasp54 DNA-binding-site 97 bases upstream of rutAp	DNA-Binding-Sites	1074116	1074131	-	rutABCDEFG
ArcA-Pasp54 DNA-binding-site 99 bases upstream of grcAp1	DNA-Binding-Sites	2716615	2716630	-	grcA
ArcA-Pasp54 DNA-binding-site regulating dsbB	DNA-Binding-Sites	1233172	1233187	-	dsbB
ArcA-Pasp54 DNA-binding-site regulating kgtP	DNA-Binding-Sites	2725807	2725822	-	kgtP
ArcA-Pasp54 DNA-binding-site regulating mqo	DNA-Binding-Sites	2306815	2306830	-	mqo
ArcA-Pasp54 DNA-binding-site regulating ndk	DNA-Binding-Sites	2644960	2644975	-	ndk
ArcA-Pasp54 DNA-binding-site regulating yfiF	DNA-Binding-Sites	2718671	2718686	-	yfiF
ArcA-Pasp54 DNA-binding-site regulating yhgE	DNA-Binding-Sites	3532612	3532627	-	yhgE
ArcA-Pasp54 DNA-binding-site regulating yhjE	DNA-Binding-Sites	3674585	3674600	+	yhjE
ArcA-Pasp54 DNA-binding-site regulating ynaJ	DNA-Binding-Sites	1397321	1397336	+	ynaJ
arcAp1	Promoters	4640508	4640569	-	arcA
arcAp2	Promoters	4640512	4640573	-	arcA
arcAp3	Promoters	4640535	4640596	-	arcA
arcAp4	Promoters	4640599	4640660	-	arcA
arcAp5	Promoters	4640681	4640742	-	arcA
arcAp6	Promoters	4640688	4640749	-	arcA
arcAp7	Promoters	4640801	4640862	-	arcA
arcB	Transcription-Units	3353049	3353025	-	arcB
arcBp	Promoters	3353049	3353110	-	arcB
arcZ	Transcription-Units	3350577	3350697	+	arcZ
ArcZ mRNA-binding-site regulating eptB	mRNA-Binding-Sites	3710482	3710498	-	eptB // eptB
ArcZ mRNA-binding-site regulating flhDC	mRNA-Binding-Sites	1978244	1978261	-	flhDC
ArcZ mRNA-binding-site regulating mutS	mRNA-Binding-Sites	2857067	2857078	+	mutS
ArcZ mRNA-binding-site regulating rpoS	mRNA-Binding-Sites	2867648	2867671	-	rpoS
arcZ terminator	Rho-Independent-Terminators	3350671	3350697	+	arcZ
arcZp	Promoters	3350516	3350577	+	arcZ
arfA	Transcription-Units	3438673	3438649	-	arfA
arfA terminator	Rho-Independent-Terminators	3438444	3438504	-	arfA
arfAp3	Promoters	3438673	3438734	-	arfA
argA	Transcription-Units	2949156	2950573	+	argA
argAp	Promoters	2949095	2949156	+	argA
argCBH	Transcription-Units	4154885	4158223	+	argCBH
argCp	Promoters	4154824	4154885	+	argCBH
argD	Transcription-Units	3490221	3490180	-	argD
argDp	Promoters	3490221	3490282	-	argD
argE	Transcription-Units	4155078	4154847	-	argE
argE	Transcription-Units	4154897	4154847	-	argE
argEp1	Promoters	4154897	4154958	-	argE
argEp2	Promoters	4155078	4155139	-	argE
argF	Transcription-Units	290340	290305	-	argF
argFp	Promoters	290340	290401	-	argF
argG	Transcription-Units	3318562	3319980	+	argG
argGp	Promoters	3318501	3318562	+	argG
argH	Transcription-Units	4156850	4158223	+	argH
argI	Transcription-Units	4478344	4478311	-	argI
argIp	Promoters	4478344	4478405	-	argI
argO	Transcription-Units	3068836	3068808	-	argO
argOp	Promoters	3068836	3068897	-	argO
argP	Transcription-Units	3059730	3060680	+	argP
ArgP DNA-binding-site 163.5 bases upstream of nrdAp	DNA-Binding-Sites	2344582	2344602	+	nrdAB-yfaE
ArgP DNA-binding-site 190.5 bases upstream of nrdAp	DNA-Binding-Sites	2344555	2344575	+	nrdAB-yfaE
ArgP DNA-binding-site 218.5 bases upstream of nrdAp	DNA-Binding-Sites	2344527	2344547	+	nrdAB-yfaE
ArgP DNA-binding-site 219.5 bases downstream of dnaAp1	DNA-Binding-Sites	3883733	3883753	-	dnaAN-recF
ArgP DNA-binding-site 244.5 bases upstream of nrdAp	DNA-Binding-Sites	2344501	2344521	+	nrdAB-yfaE
ArgP DNA-binding-site 281.5 bases upstream of nrdAp	DNA-Binding-Sites	2344464	2344484	+	nrdAB-yfaE
ArgP DNA-binding-site 334.5 bases upstream of nrdAp	DNA-Binding-Sites	2344411	2344431	+	nrdAB-yfaE
ArgP DNA-binding-site 49.5 bases upstream of dnaAp1	DNA-Binding-Sites	3884001	3884021	-	dnaAN-recF
ArgP DNA-binding-site 59.5 bases upstream of gdhAp	DNA-Binding-Sites	1842239	1842259	+	gdhA
ArgP DNA-binding-site 61.5 bases upstream of dapBp1	DNA-Binding-Sites	28272	28292	+	dapB
ArgP DNA-binding-site 62.5 bases upstream of lysPp	DNA-Binding-Sites	2248613	2248633	-	lysP
ArgP DNA-binding-site 69.5 bases upstream of dnaAp1	DNA-Binding-Sites	3884021	3884041	-	dnaAN-recF
ArgP DNA-binding-site 79.5 bases upstream of gdhAp	DNA-Binding-Sites	1842219	1842239	+	gdhA
ArgP DNA-binding-site 81.5 bases upstream of dapBp1	DNA-Binding-Sites	28252	28272	+	dapB
ArgP DNA-binding-site 82.5 bases upstream of lysPp	DNA-Binding-Sites	2248633	2248653	-	lysP
argP terminator	Rho-Independent-Terminators	3060660	3060680	+	argP
argPp	Promoters	3059669	3059730	+	argP
argQ	Transcription-Units	2817784	2817860	-	argQ
argR	Transcription-Units	3384602	3385173	+	argR
argR	Transcription-Units	3384677	3385173	+	argR
ArgR DNA-binding-site 29.5 bases upstream of artPp	DNA-Binding-Sites	903790	903808	-	artPIQM
ArgR DNA-binding-site 50.5 bases upstream of artPp	DNA-Binding-Sites	903811	903829	-	artPIQM
ArgR-arg DNA-binding-site (BS0-9153)	DNA-Binding-Sites	3519202	3519241	NA	NA
ArgR-arg DNA-binding-site (BS0-9154)	DNA-Binding-Sites	121792	121831	NA	NA
ArgR-arg DNA-binding-site (BS0-9155)	DNA-Binding-Sites	2430869	2430908	NA	NA
ArgR-arg DNA-binding-site (BS0-9156)	DNA-Binding-Sites	880767	880806	NA	NA
ArgR-arg DNA-binding-site (BS0-9157)	DNA-Binding-Sites	849151	849190	NA	NA
ArgR-arg DNA-binding-site (BS0-9158)	DNA-Binding-Sites	2575928	2575967	NA	NA
ArgR-arg DNA-binding-site (BS0-9159)	DNA-Binding-Sites	105232	105271	NA	NA
ArgR-arg DNA-binding-site (BS0-9160)	DNA-Binding-Sites	3354541	3354580	NA	NA
ArgR-arg DNA-binding-site (BS0-9161)	DNA-Binding-Sites	4294288	4294327	NA	NA
ArgR-arg DNA-binding-site (BS0-9162)	DNA-Binding-Sites	4294256	4294295	NA	NA
ArgR-arg DNA-binding-site (BS0-9163)	DNA-Binding-Sites	4294147	4294186	NA	NA
ArgR-arg DNA-binding-site (BS0-9164)	DNA-Binding-Sites	2035538	2035577	NA	NA
ArgR-arg DNA-binding-site (BS0-9165)	DNA-Binding-Sites	2035484	2035523	NA	NA
ArgR-arg DNA-binding-site (BS0-9166)	DNA-Binding-Sites	2089964	2090003	NA	NA
ArgR-arg DNA-binding-site (BS0-9167)	DNA-Binding-Sites	1405819	1405858	NA	NA
ArgR-arg DNA-binding-site (BS0-9168)	DNA-Binding-Sites	932353	932392	NA	NA
ArgR-arg DNA-binding-site (BS0-9169)	DNA-Binding-Sites	975739	975778	NA	NA
ArgR-arg DNA-binding-site (BS0-9170)	DNA-Binding-Sites	1806222	1806261	NA	NA
ArgR-arg DNA-binding-site (BS0-9171)	DNA-Binding-Sites	893697	893736	NA	NA
ArgR-arg DNA-binding-site (BS0-9172)	DNA-Binding-Sites	1364244	1364283	NA	NA
ArgR-arg DNA-binding-site (BS0-9173)	DNA-Binding-Sites	4472623	4472662	NA	NA
ArgR-arg DNA-binding-site (BS0-9174)	DNA-Binding-Sites	2798743	2798782	NA	NA
ArgR-arg DNA-binding-site (BS0-9175)	DNA-Binding-Sites	3808394	3808433	NA	NA
ArgR-arg DNA-binding-site (BS0-9176)	DNA-Binding-Sites	45774	45813	NA	NA
ArgR-arg DNA-binding-site (BS0-9177)	DNA-Binding-Sites	1679490	1679529	NA	NA
ArgR-arg DNA-binding-site (BS0-9178)	DNA-Binding-Sites	2416994	2417033	NA	NA
ArgR-arg DNA-binding-site (BS0-9179)	DNA-Binding-Sites	2591207	2591246	NA	NA
ArgR-arg DNA-binding-site (BS0-9180)	DNA-Binding-Sites	316883	316922	NA	NA
ArgR-arg DNA-binding-site (BS0-9181)	DNA-Binding-Sites	3298201	3298240	NA	NA
ArgR-arg DNA-binding-site 1.5 bases upstream of argFp	DNA-Binding-Sites	290333	290351	-	argF
ArgR-arg DNA-binding-site 1.5 bases upstream of argIp	DNA-Binding-Sites	4478337	4478355	-	argI
ArgR-arg DNA-binding-site 121.5 bases upstream of astCp2	DNA-Binding-Sites	1832157	1832175	-	astCADBE
ArgR-arg DNA-binding-site 125.5 bases upstream of argGp	DNA-Binding-Sites	3318428	3318446	+	argG // metY // metY-yhbC-nusA-infB-rbfA-truB-rpsO-pnp
ArgR-arg DNA-binding-site 13.5 bases downstream of carAp2	DNA-Binding-Sites	29623	29641	+	carAB
ArgR-arg DNA-binding-site 15.5 bases downstream of argGp	DNA-Binding-Sites	3318568	3318586	+	argG // metY // metY-yhbC-nusA-infB-rbfA-truB-rpsO-pnp
ArgR-arg DNA-binding-site 16.5 bases downstream of argEp1	DNA-Binding-Sites	4154873	4154891	-	argE // argCBH
ArgR-arg DNA-binding-site 19.5 bases upstream of argDp	DNA-Binding-Sites	3490232	3490250	-	argD
ArgR-arg DNA-binding-site 2.5 bases downstream of argDp	DNA-Binding-Sites	3490211	3490229	-	argD
ArgR-arg DNA-binding-site 22.5 bases upstream of argFp	DNA-Binding-Sites	290354	290372	-	argF
ArgR-arg DNA-binding-site 22.5 bases upstream of argIp	DNA-Binding-Sites	4478358	4478376	-	argI
ArgR-arg DNA-binding-site 27.5 bases upstream of argRp1	DNA-Binding-Sites	3384641	3384659	+	argR
ArgR-arg DNA-binding-site 27.5 bases upstream of artJp	DNA-Binding-Sites	900645	900663	-	artJ
ArgR-arg DNA-binding-site 331.5 bases upstream of gltBp2	DNA-Binding-Sites	3354169	3354187	+	gltBDF // gltBDF
ArgR-arg DNA-binding-site 34.5 bases upstream of lysOp	DNA-Binding-Sites	914921	914939	-	lysO
ArgR-arg DNA-binding-site 352 bases upstream of gltBp2	DNA-Binding-Sites	3354148	3354166	+	gltBDF // gltBDF
ArgR-arg DNA-binding-site 46.5 bases downstream of argAp	DNA-Binding-Sites	2949193	2949211	+	argA
ArgR-arg DNA-binding-site 47.5 bases upstream of astCp2	DNA-Binding-Sites	1832083	1832101	-	astCADBE
ArgR-arg DNA-binding-site 48.5 bases upstream of artJp	DNA-Binding-Sites	900666	900684	-	artJ
ArgR-arg DNA-binding-site 55.5 bases upstream of lysOp	DNA-Binding-Sites	914942	914960	-	lysO
ArgR-arg DNA-binding-site 6.5 bases upstream of argEp1	DNA-Binding-Sites	4154895	4154913	-	argE // argCBH
ArgR-arg DNA-binding-site 6.5 bases upstream of argGp	DNA-Binding-Sites	3318547	3318565	+	argG // metY // metY-yhbC-nusA-infB-rbfA-truB-rpsO-pnp
ArgR-arg DNA-binding-site 62.5 bases upstream of hisJp	DNA-Binding-Sites	2426891	2426909	-	hisJQMP
ArgR-arg DNA-binding-site 67.5 bases downstream of argAp	DNA-Binding-Sites	2949214	2949232	+	argA
ArgR-arg DNA-binding-site 7.5 bases upstream of argRp1	DNA-Binding-Sites	3384661	3384679	+	argR
ArgR-arg DNA-binding-site 78.5 bases upstream of astCp2	DNA-Binding-Sites	1832114	1832132	-	astCADBE
ArgR-arg DNA-binding-site 8.5 bases upstream of carAp2	DNA-Binding-Sites	29602	29620	+	carAB
ArgR-arg DNA-binding-site 83.5 bases upstream of hisJp	DNA-Binding-Sites	2426912	2426930	-	hisJQMP
ArgR-arg DNA-binding-site 99.5 bases upstream of astCp2	DNA-Binding-Sites	1832135	1832153	-	astCADBE
ArgR-arg DNA-binding-site regulating yhcC	DNA-Binding-Sites	3354148	3354187	-	yhcC
argRp1	Promoters	3384616	3384677	+	argR
argRp2	Promoters	3384541	3384602	+	argR
argS	Transcription-Units	1960001	1961843	+	argS
argS terminator	Rho-Independent-Terminators	1961817	1961843	+	argS
argSp	Promoters	1959940	1960001	+	argS
argT-hisJQMP	Transcription-Units	2427849	2427791	-	argT-hisJQMP
argTp	Promoters	2427849	2427910	-	argT-hisJQMP
argU	Transcription-Units	564703	564799	+	argU
argUp	Promoters	564642	564703	+	argU
argW	Transcription-Units	2466308	2466383	+	argW
argWp	Promoters	2466247	2466308	+	argW
argX-hisR-leuT-proM	Transcription-Units	3982364	3982841	+	argX-hisR-leuT-proM
argX-hisR-leuT-proM terminator	Rho-Independent-Terminators	3982813	3982841	+	argX-hisR-leuT-proM
argXp	Promoters	3982303	3982364	+	argX-hisR-leuT-proM
ariR	Transcription-Units	1216369	1216635	+	ariR
arnBCADTEF	Transcription-Units	2365910	2373278	+	arnBCADTEF
aroD	Transcription-Units	1774571	1775444	+	aroD
aroDp	Promoters	1774510	1774571	+	aroD
aroF-tyrA	Transcription-Units	2741201	2741150	-	aroF-tyrA
